Blocking method,Matching Method,Baseline Execution Time,Blocking Execution Time,Matching Execution Time,Execution Time,Similarity Threshold,Pairs In Baseline,Pairs In Blocking,TP,FN,FP,Precision,Recall,F1 Score
authorLastName,Combined,2.93,0.43,0.03,0.46,0.5,2024,1895,1895,129,0,1.0,0.9362648221343873,0.9670834396529727
FirstLetter,Combined,2.93,0.07,0.19,0.26,0.5,2024,1859,1859,165,0,1.0,0.9184782608695652,0.9575070821529745
TwoYear,Combined,2.93,0.04,0.56,0.61,0.5,2024,1834,1834,190,0,1.0,0.9061264822134387,0.9507516848107828
commonAuthors,Combined,2.93,0.78,2.91,3.68,0.5,2024,2024,2024,0,0,1.0,1.0,1.0
Year,Combined,2.93,0.06,0.31,0.36,0.5,2024,1764,1764,260,0,1.0,0.8715415019762845,0.9313621964097148
numAuthors,Combined,2.93,0.48,2.89,3.37,0.5,2024,2024,2024,0,0,1.0,1.0,1.0
authorLastName,Combined,2.92,0.43,0.03,0.46,0.7,1784,1730,1730,54,0,1.0,0.9697309417040358,0.9846328969834945
FirstLetter,Combined,2.92,0.07,0.19,0.27,0.7,1784,1754,1754,30,0,1.0,0.9831838565022422,0.9915206331260599
TwoYear,Combined,2.92,0.05,0.57,0.62,0.7,1784,1693,1693,91,0,1.0,0.9489910313901345,0.9738280126545873
commonAuthors,Combined,2.92,0.78,2.91,3.69,0.7,1784,1784,1784,0,0,1.0,1.0,1.0
Year,Combined,2.92,0.05,0.31,0.36,0.7,1784,1669,1669,115,0,1.0,0.9355381165919282,0.9666956269910222
numAuthors,Combined,2.92,0.48,2.89,3.38,0.7,1784,1784,1784,0,0,1.0,1.0,1.0
authorLastName,Jaccard,0.65,0.44,0.01,0.44,0.5,2007,1805,1805,202,0,1.0,0.8993522670652716,0.9470094438614901
FirstLetter,Jaccard,0.65,0.07,0.04,0.11,0.5,2007,1864,1864,143,0,1.0,0.9287493771798705,0.9630586411779902
TwoYear,Jaccard,0.65,0.04,0.12,0.16,0.5,2007,1813,1813,194,0,1.0,0.9033383158943697,0.9492146596858639
commonAuthors,Jaccard,0.65,0.77,0.63,1.39,0.5,2007,2007,2007,0,0,1.0,1.0,1.0
Year,Jaccard,0.65,0.05,0.06,0.11,0.5,2007,1749,1749,258,0,1.0,0.8714499252615845,0.9313099041533547
numAuthors,Jaccard,0.65,0.48,0.6,1.09,0.5,2007,2007,2007,0,0,1.0,1.0,1.0
authorLastName,Jaccard,0.65,0.49,0.01,0.5,0.7,1818,1704,1704,114,0,1.0,0.9372937293729373,0.9676320272572402
FirstLetter,Jaccard,0.65,0.08,0.04,0.12,0.7,1818,1745,1745,73,0,1.0,0.9598459845984598,0.9795116474880718
TwoYear,Jaccard,0.65,0.05,0.12,0.17,0.7,1818,1715,1715,103,0,1.0,0.9433443344334433,0.9708463062553071
commonAuthors,Jaccard,0.65,0.91,0.7,1.61,0.7,1818,1818,1818,0,0,1.0,1.0,1.0
Year,Jaccard,0.65,0.06,0.07,0.13,0.7,1818,1673,1673,145,0,1.0,0.9202420242024203,0.9584646233171011
numAuthors,Jaccard,0.65,0.54,0.64,1.18,0.7,1818,1818,1818,0,0,1.0,1.0,1.0
